Abiotrophia
Abiotrophia defectiva
Absidia
Acetanaerobacterium
Acetivibrio
Acetivibrio ethanolgignens
Acholeplasma
Acholeplasmataceae
Acholeplasmatales
Achromobacter
Achromobacter sp.
Acidaminococcaceae
Acidaminococcus
Acidaminococcus intestini
Acidibacter
Acidiphilium
Acidobacteria
Acidobacteriia
Acidobacterium
Acidothermus
Acidovorax
Acinetobacter
Acinetobacter baumannii
Acinetobacter johnsonii
Acinetobacter lwoffii
Acinetobacter schindleri
Acinetobacter sp.
Acinetobacter venetianus RAG-1 = CIP 110063
Acremonium
Acremonium chrysogenum
Actinobacillus
Actinobacillus porcinus
Actinobacteria
Actinobaculum
Actinobaculum massiliense
Actinomyces
Actinomyces graevenitzii
Actinomyces oris
Actinomyces radicidentis
Actinomyces sp. oral taxon 170
Actinomyces sp. oral taxon 877
Actinomyces viscosus
Actinomycetaceae
Actinomycetales
Actinotalea
Adlercreutzia
Adlercreutzia equolifaciens
Aerococcaceae
Aerococcus
Aeromonadaceae
Aeromonadales
Aeromonas
Agaricales
Agaricomycetes
Agathobaculum desmolans
Aggregatibacter
Aggregatibacter actinomycetemcomitans
Aggregatibacter aphrophilus
Aggregatibacter segnis
Agrococcus
Akkermansia
Akkermansia muciniphila
Akkermansiaceae
Alcaligenaceae
Alcaligenes
Alcaligenes faecalis
Alicyclobacillus
Aliihoeflea
Alistipes
Alistipes finegoldii
Alistipes indistinctus
Alistipes obesi
Alistipes onderdonkii
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alkaliphilus
Allisonella
Allobaculum
Alloiococcus
Alloprevotella
Alloprevotella tannerae
Alloscardovia omnicolens
Alphaproteobacteria
Alteromonadaceae
Alteromonadales
Alteromonas
Amedibacillus dolichus
Anaerobutyricum hallii
Anaerococcus
Anaerococcus tetradius
Anaerofustis
Anaeroglobus
Anaerolineae
Anaeromassilibacillus senegalensis
Anaeroplasma
Anaeroplasmataceae
Anaeroplasmatales
Anaerorhabdus
Anaerosporobacter
Anaerostipes
Anaerostipes caccae
Anaerostipes caccae DSM 14662
Anaerotignum lactatifermentans
